"id","name","impianto_categoria_id/id"
"__export__.gevi_impianti_impianto_attributo_riscontro_1","Funi cinghie o catene","__export__.gevi_impianti_impianto_categoria_2"
"__export__.gevi_impianti_impianto_attributo_riscontro_2","Dispositivi di chiusura di sicurezza e di sblocco","__export__.gevi_impianti_impianto_categoria_2"
"__export__.gevi_impianti_impianto_attributo_riscontro_3","Dispositivo di extracorsa e di rallentamento","__export__.gevi_impianti_impianto_categoria_2"
"__export__.gevi_impianti_impianto_attributo_riscontro_4","Paracadute (a vuoto e velocità ridotta)","__export__.gevi_impianti_impianto_categoria_2"
"__export__.gevi_impianti_impianto_attributo_riscontro_5","Limitatore di velocità","__export__.gevi_impianti_impianto_categoria_2"
"__export__.gevi_impianti_impianto_attributo_riscontro_6","Condizioni delle difese","__export__.gevi_impianti_impianto_categoria_2"
"__export__.gevi_impianti_impianto_attributo_riscontro_7","Condizione di isolamento dei circuiti e guasto a terra","__export__.gevi_impianti_impianto_categoria_2"
"__export__.gevi_impianti_impianto_attributo_riscontro_8","Allarme","__export__.gevi_impianti_impianto_categoria_2"
"__export__.gevi_impianti_impianto_attributo_riscontro_9","Bidirezionale","__export__.gevi_impianti_impianto_categoria_2"
"__export__.gevi_impianti_impianto_attributo_riscontro_10","Emendamento A3","__export__.gevi_impianti_impianto_categoria_2"
"__export__.gevi_impianti_impianto_attributo_riscontro_11","Targhe e avvisi","__export__.gevi_impianti_impianto_categoria_2"
"__export__.gevi_impianti_impianto_attributo_riscontro_12","Funzionamento regolare dell'impianto","__export__.gevi_impianti_impianto_categoria_2"
"__export__.gevi_impianti_impianto_attributo_riscontro_13","Funi cinghie o catene","__export__.gevi_impianti_impianto_categoria_1"
"__export__.gevi_impianti_impianto_attributo_riscontro_14","Dispositivi di chiusura di sicurezza e di sblocco","__export__.gevi_impianti_impianto_categoria_1"
"__export__.gevi_impianti_impianto_attributo_riscontro_15","Dispositivo di extracorsa e di rallentamento","__export__.gevi_impianti_impianto_categoria_1"
"__export__.gevi_impianti_impianto_attributo_riscontro_16","Paracadute (a vuoto e velocità  ridotta)","__export__.gevi_impianti_impianto_categoria_1"
"__export__.gevi_impianti_impianto_attributo_riscontro_17","Limitatore di velocità ","__export__.gevi_impianti_impianto_categoria_1"
"__export__.gevi_impianti_impianto_attributo_riscontro_18","Condizioni delle difese","__export__.gevi_impianti_impianto_categoria_1"
"__export__.gevi_impianti_impianto_attributo_riscontro_19","Condizione di isolamento dei circuiti e guasto a terra","__export__.gevi_impianti_impianto_categoria_1"
"__export__.gevi_impianti_impianto_attributo_riscontro_20","Allarme","__export__.gevi_impianti_impianto_categoria_1"
"__export__.gevi_impianti_impianto_attributo_riscontro_21","Bidirezionale","__export__.gevi_impianti_impianto_categoria_1"
"__export__.gevi_impianti_impianto_attributo_riscontro_22","Emendamento A3","__export__.gevi_impianti_impianto_categoria_1"
"__export__.gevi_impianti_impianto_attributo_riscontro_23","Targhe e avvisi","__export__.gevi_impianti_impianto_categoria_1"
"__export__.gevi_impianti_impianto_attributo_riscontro_24","Funzionamento regolare dell'impianto","__export__.gevi_impianti_impianto_categoria_1"
"__export__.gevi_impianti_impianto_attributo_riscontro_25","Valvola di sovra-pressione","__export__.gevi_impianti_impianto_categoria_1"
"__export__.gevi_impianti_impianto_attributo_riscontro_26","Valvola di blocco","__export__.gevi_impianti_impianto_categoria_1"
"__export__.gevi_impianti_impianto_attributo_riscontro_27","Ripescaggio","__export__.gevi_impianti_impianto_categoria_1"
"__export__.gevi_impianti_impianto_attributo_riscontro_28","Tubazioni flessibili","__export__.gevi_impianti_impianto_categoria_1"
"__export__.gevi_impianti_impianto_attributo_riscontro_29","Gli interruttori differenziali sono risultati efficienti","__export__.gevi_impianti_impianto_categoria_3"
"__export__.gevi_impianti_impianto_attributo_riscontro_30","La continuità  del circuito è stata verificata ed è risultata positiva","__export__.gevi_impianti_impianto_categoria_3"
"__export__.gevi_impianti_impianto_attributo_riscontro_31","La protezione dai contatti indiretti per guasti sul sistema in MT è assicurata da interruzione automatica dell'alimentazione secondo la norma CEI 64-8 art.413.1 con l'impiego di interruttori differenziali risultati EFFICIENTI alla prova (vedi ALLEGATO II)","__export__.gevi_impianti_impianto_categoria_3"
"__export__.gevi_impianti_impianto_attributo_riscontro_32","Il valore della resistenza di terra  misurato con il metodo della caduta di tensione (CEI 99-2  CEI 99-3)  assicura  in caso di guasto sul sistema un valore della tensione totale di terra minore della tensione di contatto ammissibile","__export__.gevi_impianti_impianto_categoria_3"
"__export__.gevi_impianti_impianto_attributo_riscontro_33","Il valore della resistenza di terra  misurato con il metodo volt-amperometrico (CEI EN 61936-1) non assicura in caso di guasto sul sistema di alta tensione, un valore della tensione totale di terra minore della tensione di contatto ammissibile","__export__.gevi_impianti_impianto_categoria_3"


