"id","impianto_categoria_id/id","name","unita_di_misura_id/id"
"__export__.gevi_impianti_impianto_attributo_rilievo_1","__export__.gevi_impianti_impianto_categoria_2","Illuminamento locale del macchinario","__export__.gevi_impianti_unita_di_misura_4"
"__export__.gevi_impianti_impianto_attributo_rilievo_2","__export__.gevi_impianti_impianto_categoria_2","Illuminamento vano di corsa","__export__.gevi_impianti_unita_di_misura_4"
"__export__.gevi_impianti_impianto_attributo_rilievo_3","__export__.gevi_impianti_impianto_categoria_2","Illuminamento cabina","__export__.gevi_impianti_unita_di_misura_4"
"__export__.gevi_impianti_impianto_attributo_rilievo_4","__export__.gevi_impianti_impianto_categoria_2","Resistenza di isolamento del quadro (con V ≤ 500 R ≥ 0.5 MΩ)","__export__.gevi_impianti_unita_di_misura_5"
"__export__.gevi_impianti_impianto_attributo_rilievo_5","__export__.gevi_impianti_impianto_categoria_2","Forza per prevenire la chiusura delle porte","__export__.gevi_impianti_unita_di_misura_7"
"__export__.gevi_impianti_impianto_attributo_rilievo_6","__export__.gevi_impianti_impianto_categoria_2","Scorrimento funi di trazione","__export__.gevi_impianti_unita_di_misura_6"
"__export__.gevi_impianti_impianto_attributo_rilievo_7","__export__.gevi_impianti_impianto_categoria_2","Velocità nominale ascensore","__export__.gevi_impianti_unita_di_misura_2"
"__export__.gevi_impianti_impianto_attributo_rilievo_8","__export__.gevi_impianti_impianto_categoria_2","Velocità intervento limitatore","__export__.gevi_impianti_unita_di_misura_2"
"__export__.gevi_impianti_impianto_attributo_rilievo_9","__export__.gevi_impianti_impianto_categoria_1","Illuminamento locale del macchinario","__export__.gevi_impianti_unita_di_misura_4"
"__export__.gevi_impianti_impianto_attributo_rilievo_10","__export__.gevi_impianti_impianto_categoria_1","Illuminamento vano di corsa","__export__.gevi_impianti_unita_di_misura_4"
"__export__.gevi_impianti_impianto_attributo_rilievo_11","__export__.gevi_impianti_impianto_categoria_1","Illuminamento cabina","__export__.gevi_impianti_unita_di_misura_4"
"__export__.gevi_impianti_impianto_attributo_rilievo_12","__export__.gevi_impianti_impianto_categoria_1","Resistenza di isolamento del quadro (con V ≤ 500 R ≥ 0.5 MΩ)","__export__.gevi_impianti_unita_di_misura_5"
"__export__.gevi_impianti_impianto_attributo_rilievo_13","__export__.gevi_impianti_impianto_categoria_1","Forza per prevenire la chiusura delle porte","__export__.gevi_impianti_unita_di_misura_7"
"__export__.gevi_impianti_impianto_attributo_rilievo_14","__export__.gevi_impianti_impianto_categoria_1","Apertura valvola sovrapressione","__export__.gevi_impianti_unita_di_misura_8"
"__export__.gevi_impianti_impianto_attributo_rilievo_15","__export__.gevi_impianti_impianto_categoria_1","Velocità nominale ascensore","__export__.gevi_impianti_unita_di_misura_2"
"__export__.gevi_impianti_impianto_attributo_rilievo_16","__export__.gevi_impianti_impianto_categoria_1","Velocità intervento limitatore","__export__.gevi_impianti_unita_di_misura_2"
"__export__.gevi_impianti_impianto_attributo_rilievo_17","__export__.gevi_impianti_impianto_categoria_3","Esame a vista",""
"__export__.gevi_impianti_impianto_attributo_rilievo_18","__export__.gevi_impianti_impianto_categoria_3","Prove di continuità circuiti di protezione",""
"__export__.gevi_impianti_impianto_attributo_rilievo_19","__export__.gevi_impianti_impianto_categoria_3","Misura della resistenza di terra",""
"__export__.gevi_impianti_impianto_attributo_rilievo_20","__export__.gevi_impianti_impianto_categoria_3","Prova di funzionamento elettrico dei dispositivi differenziali a campione",""
"__export__.gevi_impianti_impianto_attributo_rilievo_21","__export__.gevi_impianti_impianto_categoria_3","Verifica e coordinamento dei dispositivi di protezione",""
"__export__.gevi_impianti_impianto_attributo_rilievo_22","__export__.gevi_impianti_impianto_categoria_3","Progetto",""
"__export__.gevi_impianti_impianto_attributo_rilievo_23","__export__.gevi_impianti_impianto_categoria_3","Dichiarazione di conformità",""
"__export__.gevi_impianti_impianto_attributo_rilievo_24","__export__.gevi_impianti_impianto_categoria_4","Progetto",""
"__export__.gevi_impianti_impianto_attributo_rilievo_25","__export__.gevi_impianti_impianto_categoria_4","Dichiarazione di conformità",""
