"id","indice_categoria","name"
"__export__.gevi_verbali_osservazione_categoria_1","1","FUNI/CATENE/ARGANO/FRENI E AZIONAMENTI"
"__export__.gevi_verbali_osservazione_categoria_2","2","DISPOSITIVI DI CHIUSURA, SICUREZZA E BLOCCO"
"__export__.gevi_verbali_osservazione_categoria_3","3","CONDIZIONI DELLE DIFESE"
"__export__.gevi_verbali_osservazione_categoria_4","4","ISOLAMENTO DEI CIRCUITI"
"__export__.gevi_verbali_osservazione_categoria_5","5","PARACADUTE"
"__export__.gevi_verbali_osservazione_categoria_6","6","LIMITATORE DI VELOCITÀ"
"__export__.gevi_verbali_osservazione_categoria_7","7","ALLARME E BIDIREZIONALE"
"__export__.gevi_verbali_osservazione_categoria_8","8","RIPESCAGGIO"
"__export__.gevi_verbali_osservazione_categoria_9","9","VALVOLA DI BLOCCO/LIMITATRICE"
"__export__.gevi_verbali_osservazione_categoria_10","10","VALVOLA DI SOVRAPRESSIONE"
"__export__.gevi_verbali_osservazione_categoria_11","11","TUBAZIONE DI MANDATA"
"__export__.gevi_verbali_osservazione_categoria_12","12","TARGHE ED AVVISI"
"__export__.gevi_verbali_osservazione_categoria_13","13","LOCALE DEL MACCHINARIO E/O DELLE PULEGGE DI RINVIO"
"__export__.gevi_verbali_osservazione_categoria_14","14","FUNZIONAMENTO DELL’IMPIANTO"
